component_1,component_2,result_item_id
chronometer,chronometer,overclocked_targeting
amplifier,amplifier,devastator_core
aegis_plate,aegis_plate,regenerative_shielding
reinforced_hull,reinforced_hull,adamantium_frame
resonator,resonator,harmonic_amplifier
dampener,dampener,null_field_generator
thruster_module,thruster_module,afterburner_array
precision_lens,precision_lens,quantum_sight
capacitor,capacitor,overcharge_matrix
ablative_coating,ablative_coating,reactive_plating
human_legacy,human_legacy,fortress_hull
alien_legacy,alien_legacy,regenerative_core
machine_legacy,machine_legacy,adaptive_shielding
toxic_legacy,toxic_legacy,overcharged_reactor
chronometer,amplifier,autocannon_protocol
chronometer,precision_lens,surgical_strikes
amplifier,precision_lens,execution_protocol
chronometer,thruster_module,hit_and_run
amplifier,ablative_coating,armor_piercing_rounds
aegis_plate,reinforced_hull,bulwark_configuration
aegis_plate,dampener,harmonic_barrier
reinforced_hull,ablative_coating,fortress_protocol
thruster_module,dampener,evasive_maneuvers
chronometer,aegis_plate,kinetic_shielding
resonator,capacitor,amplified_reserves
resonator,dampener,stabilized_resonance
capacitor,precision_lens,critical_charge
capacitor,thruster_module,momentum_drive
human_legacy,amplifier,reinforced_firepower
human_legacy,chronometer,endurance_protocol
human_legacy,precision_lens,survivors_aim
human_legacy,aegis_plate,bulwark_frame
human_legacy,ablative_coating,fortress_doctrine
human_legacy,resonator,titans_strength
human_legacy,dampener,unyielding_resolve
human_legacy,thruster_module,heavy_mobility
human_legacy,capacitor,endurance_core
alien_legacy,amplifier,bio_weapon
alien_legacy,chronometer,adaptive_metabolism
alien_legacy,precision_lens,evolutionary_strike
alien_legacy,aegis_plate,symbiotic_shield
alien_legacy,ablative_coating,living_armor
alien_legacy,resonator,biotic_amplifier
alien_legacy,dampener,adaptive_biology
alien_legacy,thruster_module,metabolic_overdrive
alien_legacy,capacitor,bioenergy_converter
machine_legacy,amplifier,targeting_algorithm
machine_legacy,chronometer,overclocked_core
machine_legacy,precision_lens,synthetic_precision
machine_legacy,reinforced_hull,composite_frame
machine_legacy,ablative_coating,reactive_systems
machine_legacy,resonator,power_conduit
machine_legacy,dampener,electronic_warfare
machine_legacy,thruster_module,thruster_matrix
machine_legacy,capacitor,energy_lattice
toxic_legacy,amplifier,corrosive_rounds
toxic_legacy,chronometer,radioactive_barrage
toxic_legacy,precision_lens,toxic_injection
toxic_legacy,aegis_plate,contaminated_barrier
toxic_legacy,reinforced_hull,irradiated_plating
toxic_legacy,ablative_coating,reactive_venom
toxic_legacy,resonator,toxic_amplification
toxic_legacy,dampener,toxin_filter
toxic_legacy,thruster_module,contamination_wake
toxic_legacy,capacitor,biofuel_matrix
human_legacy,alien_legacy,hybrid_vitality
human_legacy,machine_legacy,augmented_chassis
human_legacy,toxic_legacy,hazmat_configuration
alien_legacy,machine_legacy,cybernetic_symbiosis
alien_legacy,toxic_legacy,mutagenic_evolution
machine_legacy,toxic_legacy,reactor_core
thruster_module,precision_lens,flanking_tactics
reinforced_hull,resonator,titans_presence
ablative_coating,resonator,hardened_focus
dampener,precision_lens,unflinching_aim
aegis_plate,capacitor,charged_barrier
reinforced_hull,capacitor,endurance_matrix
amplifier,resonator,overloaded_output
chronometer,reinforced_hull,chronometer_hull
chronometer,resonator,chronometer_resonator
chronometer,dampener,chronometer_dampener
chronometer,capacitor,chronometer_capacitor
chronometer,ablative_coating,chronometer_coating
amplifier,aegis_plate,amplifier_aegis
amplifier,reinforced_hull,amplifier_hull
amplifier,dampener,amplifier_dampener
amplifier,thruster_module,amplifier_thruster
amplifier,capacitor,amplifier_capacitor
aegis_plate,resonator,aegis_resonator
aegis_plate,thruster_module,aegis_thruster
aegis_plate,ablative_coating,aegis_coating
reinforced_hull,dampener,hull_dampener
reinforced_hull,thruster_module,hull_thruster
resonator,thruster_module,resonator_thruster
resonator,ablative_coating,resonator_coating
dampener,capacitor,dampener_capacitor
dampener,ablative_coating,dampener_coating
thruster_module,capacitor,thruster_capacitor
thruster_module,ablative_coating,thruster_coating
capacitor,ablative_coating,capacitor_coating
